avg_burst_time,arrival_rate,cpu_io_ratio,priority_variance,queue_length,throughput_req,best_scheduler
7,20,0.95,8,25,high,Priority
19,23,0.15,8,40,high,Priority
2,24,0.84,6,6,low,RR
1,12,0.64,9,31,high,Priority
10,28,0.97,3,48,high,RR
3,5,0.64,5,13,high,FCFS
18,4,0.94,2,13,medium,RR
2,20,0.31,7,48,low,SJF
8,15,0.25,1,40,medium,RR
8,4,0.38,6,46,medium,RR
18,26,0.5,4,18,high,RR
16,15,0.18,7,44,low,Priority
16,13,0.34,5,28,medium,RR
13,9,0.36,1,29,high,RR
9,24,0.45,8,28,high,Priority
11,19,0.73,3,39,low,RR
5,10,0.42,9,32,high,SJF
9,8,0.5,1,27,medium,RR
5,3,0.63,6,31,high,FCFS
1,3,0.21,3,5,low,SJF
14,7,0.14,3,36,high,FCFS
17,20,0.6,4,34,low,RR
7,13,0.58,4,17,high,RR
19,22,0.88,9,10,medium,Priority
11,26,0.21,9,43,medium,Priority
1,1,0.3,9,17,low,SJF
3,7,0.25,9,41,low,SJF
19,10,0.4,6,36,low,RR
17,17,0.33,7,6,high,Priority
17,5,0.35,1,6,medium,RR
5,1,0.66,2,48,medium,RR
6,23,0.7,8,21,high,Priority
6,24,0.52,2,10,medium,RR
11,16,0.81,9,10,low,Priority
3,20,0.39,4,23,medium,SJF
3,19,0.41,7,45,low,SJF
8,7,0.93,1,15,low,RR
18,23,0.58,3,11,medium,RR
16,25,0.56,1,6,low,RR
16,12,0.6,7,13,low,Priority
3,19,0.75,3,24,medium,RR
1,24,0.86,1,12,medium,RR
8,20,0.62,9,39,low,Priority
18,14,0.59,6,39,low,RR
9,4,0.73,1,18,low,RR
16,20,0.43,8,11,high,Priority
17,1,0.58,3,26,high,FCFS
14,6,0.97,3,12,high,FCFS
2,21,0.55,1,9,low,RR
16,19,0.61,1,21,medium,RR
14,21,0.89,9,41,low,Priority
17,14,0.96,3,37,high,RR
1,3,0.25,9,46,high,FCFS
3,8,0.16,2,36,high,SJF
2,27,0.36,1,44,low,SJF
9,11,0.73,7,33,medium,Priority
3,18,0.87,7,40,low,Priority
1,8,0.72,3,27,high,RR
2,2,0.49,6,29,medium,SJF
17,20,0.13,6,47,low,RR
1,8,0.79,5,43,medium,RR
13,20,0.47,3,44,low,RR
18,28,0.74,3,21,high,RR
19,28,0.76,5,30,low,RR
9,12,0.46,1,38,medium,RR
16,25,0.69,5,5,low,RR
7,5,0.64,7,7,medium,Priority
16,19,0.77,9,33,medium,Priority
5,15,0.14,4,9,medium,SJF
16,21,0.52,1,34,low,RR
10,22,0.67,2,35,medium,RR
19,26,0.55,8,9,low,Priority
4,16,0.16,7,6,low,SJF
12,18,0.61,1,37,low,RR
19,11,0.94,3,5,low,RR
8,10,0.28,2,39,high,RR
17,26,0.38,2,45,high,RR
4,26,0.72,8,40,low,Priority
4,10,0.48,8,39,low,SJF
3,16,0.21,1,43,high,SJF
5,12,0.48,7,29,high,SJF
9,17,0.58,4,29,medium,RR
13,27,0.19,4,16,low,RR
9,19,0.18,7,32,medium,Priority
19,26,0.66,5,9,high,RR
12,25,0.59,5,40,low,RR
16,25,0.2,5,46,medium,RR
7,14,0.59,5,39,high,RR
11,11,0.2,9,14,medium,Priority
12,17,0.19,7,17,medium,Priority
9,18,0.89,2,9,low,RR
5,6,0.98,1,26,low,RR
7,25,0.63,4,10,high,RR
19,29,0.44,7,31,medium,Priority
19,7,0.49,2,32,medium,RR
8,29,0.83,7,5,high,Priority
13,28,0.96,1,29,low,RR
6,21,0.96,5,20,medium,RR
11,28,0.17,3,23,low,RR
18,15,0.66,1,7,high,RR
11,12,0.95,8,42,low,Priority
8,26,0.27,8,32,low,Priority
9,4,0.98,6,21,low,RR
1,21,0.82,3,10,medium,RR
19,5,0.65,2,14,medium,RR
18,27,0.14,7,37,medium,Priority
1,18,0.98,1,15,low,RR
17,13,0.16,9,39,high,Priority
