avg_burst_time,arrival_rate,cpu_io_ratio,priority_variance,queue_length,throughput_req,best_scheduler
7,20,0.957262216037714,8,26,high,SJF
19,23,0.14227834327598568,8,40,high,Priority
2,24,0.860291815069977,6,5,low,RR
1,12,0.6241434715509284,9,31,high,RR
10,28,0.9685620581670273,3,49,high,RR
3,5,0.642995607089871,5,13,high,FCFS
18,4,0.9292555537815798,2,13,medium,RR
2,19,0.31787090001613344,7,48,low,SJF
8,15,0.23836659673111332,1,39,medium,FCFS
8,4,0.37542431159880707,6,46,medium,RR
18,27,0.5092396029796453,4,18,high,RR
16,15,0.1739051157555159,7,45,low,Priority
16,13,0.34893100585760434,5,28,medium,RR
13,9,0.3667504998736183,1,29,high,RR
9,24,0.44903495272689103,8,28,high,FCFS
11,19,0.719673093552703,3,39,low,RR
5,10,0.4170463203610356,9,32,high,SJF
9,8,0.5057901187395656,1,27,medium,RR
5,3,0.6356816464258763,6,31,high,FCFS
1,3,0.21529006278518517,3,5,low,SJF
14,6,0.14358072212181205,3,36,high,FCFS
17,20,0.5894746919633996,4,34,low,RR
7,13,0.5707458907625976,4,17,high,RR
19,22,0.8836813294943413,9,10,medium,Priority
11,26,0.21397006636771584,9,43,medium,Priority
1,1,0.30258311541515925,9,16,low,SJF
3,7,0.2442354218787578,9,41,low,SJF
19,9,0.3876471781556875,6,36,low,RR
17,17,0.3253945597773167,7,5,high,Priority
17,5,0.3369958851277811,1,6,medium,Priority
5,1,0.654886911980617,2,48,medium,RR
6,23,0.6980892667467901,8,21,high,SJF
6,24,0.5108930057290277,2,10,medium,RR
11,16,0.8030479743081125,9,10,low,RR
3,20,0.3757954061307582,4,23,medium,SJF
3,19,0.40684446025611243,7,45,low,FCFS
8,7,0.9326079539209287,1,14,low,SJF
18,23,0.5817073838510781,3,11,medium,RR
16,25,0.5620639107000988,1,6,low,RR
16,12,0.599211490747434,7,13,low,SJF
3,20,0.7355594992530327,3,24,medium,RR
1,23,0.8597275089208258,1,12,medium,RR
8,20,0.6221430211158616,9,39,low,Priority
18,14,0.5862767252302282,6,39,low,RR
9,4,0.7219005545467801,1,18,low,RR
16,20,0.42293044133021857,8,12,high,Priority
17,1,0.5802551208674456,3,26,high,FCFS
14,6,0.9683903301141935,3,12,high,Priority
2,21,0.5485189938233833,1,9,low,RR
16,18,0.6035485254902682,1,21,medium,RR
14,21,0.8921957724330996,9,40,low,Priority
17,14,0.9609765887395171,3,37,high,RR
1,3,0.22812823788649142,9,46,high,FCFS
3,8,0.14941798508822543,2,36,high,SJF
2,27,0.34596570263713455,1,44,low,SJF
9,11,0.7140593524944411,7,33,medium,Priority
3,18,0.8726292769324587,7,40,low,Priority
1,8,0.7148379503611291,3,27,high,RR
2,2,0.4920516374016621,6,29,medium,SJF
17,20,0.14103053904754898,6,47,low,RR
1,8,0.7977761312280213,5,43,medium,RR
13,20,0.46958300041650924,3,44,low,RR
18,28,0.7404743497075865,3,21,high,RR
19,28,0.7622086249971001,5,31,low,RR
9,12,0.4662461918368877,1,39,medium,RR
16,25,0.6771348449053702,5,5,low,RR
7,5,0.6446700628596818,7,7,medium,Priority
16,19,0.7746636518513228,9,33,medium,Priority
5,15,0.12988380403286845,4,8,medium,SJF
16,21,0.5272584181813676,1,34,low,RR
10,22,0.6620436996566188,2,35,medium,RR
19,26,0.5539586003644019,8,9,low,Priority
4,16,0.17252518932154737,7,6,low,SJF
12,18,0.6341403669519501,1,38,low,RR
19,11,0.9565829452633056,3,5,low,RR
8,10,0.289176630908185,2,39,high,RR
17,27,0.3833033861948138,2,45,high,Priority
4,26,0.7214449853665917,8,40,low,Priority
4,10,0.48506022767228985,8,39,low,SJF
3,16,0.2032949208187439,1,43,high,SJF
5,12,0.4847179396101535,7,29,high,FCFS
9,17,0.583744443909243,4,29,medium,RR
13,27,0.19491560575028655,4,16,low,RR
9,19,0.18511826321111455,7,32,medium,Priority
19,26,0.6656164085787042,5,9,high,RR
12,25,0.5958932174122007,5,40,low,RR
16,25,0.19907037214722226,5,46,medium,RR
7,15,0.5858130754630816,5,39,high,RR
11,11,0.20134384365039845,9,14,medium,RR
12,17,0.1860038342614878,7,18,medium,Priority
9,18,0.8933897782498987,2,9,low,RR
5,6,0.9720512285542574,1,26,low,RR
7,25,0.6405845608159121,4,10,high,FCFS
19,29,0.44520209246876014,7,31,medium,Priority
19,7,0.49239151163300365,2,32,medium,RR
8,29,0.8241790493925848,7,5,high,Priority
13,28,0.958524138519732,1,29,low,Priority
6,21,0.9573372123285935,5,21,medium,RR
11,28,0.1687712209732468,3,22,low,RR
18,15,0.6573311398584932,1,7,high,RR
11,12,0.9507279905610813,8,42,low,Priority
8,26,0.2608931465922833,8,32,low,RR
9,4,0.9891040823575004,6,21,low,RR
1,20,0.8216548482887402,3,10,medium,FCFS
19,5,0.6604589427163143,2,15,medium,RR
18,27,0.15023625321537343,7,37,medium,Priority
1,18,0.99,1,15,low,SJF
17,13,0.1622902321641608,9,39,high,RR
